project_id,month,snapshot_date,physical_progress_pct,financial_progress_pct,cumulative_expenditure,revised_cost,cost_overrun_to_date_pct,revised_end_date,completion_date,schedule_slip_months
PRJ-0001,Feb,2026-02-15,30.68,30.71,957.93,4240.27,35.93,2032-01-18,,26.09
PRJ-0001,March,2026-03-15,61.37,67.1,2093.1,4214.75,35.12,2031-04-18,,17.11
PRJ-0001,April,2026-04-15,86.52,86.3,2691.91,4123.63,32.2,2030-12-18,,12.54
PRJ-0001,May,2026-05-15,86.52,88.25,2752.69,3970.2,27.28,2030-08-18,,9.46
PRJ-0001,June,2026-06-15,86.52,90.87,2834.42,4533.63,45.34,2031-05-18,,18.22
PRJ-0001,July,2026-07-15,86.52,88.34,2755.64,3087.56,-1.02,2029-12-18,,0.64
PRJ-0002,Feb,2026-02-15,9.18,7.0,54.5,981.32,26.07,2032-09-20,,24.86
PRJ-0002,March,2026-03-15,18.35,16.11,125.41,984.67,26.5,2032-04-20,,20.0
PRJ-0002,April,2026-04-15,27.53,26.34,205.0,925.24,18.86,2031-11-20,,15.5
PRJ-0002,May,2026-05-15,36.7,39.86,310.3,907.68,16.61,2031-10-20,,14.1
PRJ-0002,June,2026-06-15,45.88,43.12,335.66,1263.2,62.28,2033-02-20,,30.09
PRJ-0002,July,2026-07-15,55.05,51.17,398.31,685.73,-11.9,2030-08-20,,0.0
PRJ-0003,Feb,2026-02-15,23.14,19.38,428.31,2882.76,30.42,2030-11-24,,18.97
PRJ-0003,March,2026-03-15,46.28,40.02,884.59,2885.02,30.52,2030-10-24,,18.4
PRJ-0003,April,2026-04-15,50.8,55.39,1224.34,2817.56,27.47,2030-03-24,,10.73
PRJ-0003,May,2026-05-15,50.8,44.05,973.75,2780.24,25.78,2030-05-24,,13.28
PRJ-0003,June,2026-06-15,50.8,50.08,1107.01,3103.8,40.42,2030-12-24,,19.55
PRJ-0003,July,2026-07-15,50.8,51.61,1140.84,2533.48,14.62,2030-01-24,,9.0
PRJ-0004,Feb,2026-02-15,12.09,7.97,210.34,3110.63,17.79,2035-05-20,,14.29
PRJ-0004,March,2026-03-15,24.19,23.91,631.28,3070.91,16.29,2035-06-20,,15.47
PRJ-0004,April,2026-04-15,36.28,33.22,877.26,3073.73,16.4,2035-06-20,,15.19
PRJ-0004,May,2026-05-15,48.38,47.74,1260.63,3048.43,15.44,2035-01-20,,10.29
PRJ-0004,June,2026-06-15,60.47,61.22,1616.73,3772.52,42.86,2035-08-20,,16.85
PRJ-0004,July,2026-07-15,67.69,68.73,1815.08,2600.37,-1.53,2034-05-20,,1.54
PRJ-0005,Feb,2026-02-15,7.9,3.61,76.68,2426.18,14.31,2036-05-19,,17.49
PRJ-0005,March,2026-03-15,15.8,11.1,235.51,2465.45,16.16,2036-02-19,,14.09
PRJ-0005,April,2026-04-15,23.7,30.15,639.88,2355.72,10.99,2035-11-19,,10.56
