project_id,sector,state,sanctioned_cost,sanctioned_date,original_end_date,completion_date,date_of_completion,duration_months,target_cost_overrun_pct,real_state_overrun_july,real_sector_overrun_pct,real_state_drift_pp_month
PRJ-0001,Oil & Gas,Rajasthan,3119.35,2026-02-18,2029-11-18,,,45,0.767,4.92,8.97,-7.926
PRJ-0002,Roads & Highways,Punjab,778.4,2026-02-20,2030-08-20,,,54,-11.47,-29.625,1.73,-7.508
PRJ-0003,Roads & Highways,Gujarat,2210.32,2026-02-24,2029-04-24,,,38,13.826,8.533,1.73,-3.068
PRJ-0004,Energy Storage,Jharkhand,2640.72,2026-02-20,2034-03-20,,,97,-1.078,-17.585,13.08,-4.6
PRJ-0005,Roads & Highways,Uttar Pradesh,2122.42,2026-02-19,2034-12-19,,,106,3.142,2.185,1.73,-3.086
PRJ-0006,Roads & Highways,Assam,2045.24,2026-02-08,2035-05-08,,,111,-0.294,-6.798,1.73,-7.331
PRJ-0007,Roads & Highways,Karnataka,509.92,2026-02-26,2035-07-26,,,113,-12.227,-17.416,1.73,-5.504
PRJ-0008,Aviation & Aviation Infrastructure,Gujarat,1034.16,2026-02-25,2030-06-25,,,52,1.169,8.533,6.68,-3.068
PRJ-0009,Oil & Gas,Andhra Pradesh,5794.59,2024-01-07,2026-05-07,2026-06-10,2026-06-10,28,0.346,-3.734,8.97,-5.906
PRJ-0010,Roads & Highways,Himachal Pradesh,1404.02,2026-02-25,2031-06-25,,,64,-15.643,-32.81,1.73,-11.046
PRJ-0011,Roads & Highways,Andhra Pradesh,1941.54,2026-02-01,2032-01-01,,,71,-15.032,-3.734,1.73,-5.906
PRJ-0012,Transmission & Distribution,Uttar Pradesh,2244.17,2026-02-21,2030-07-21,,,53,-8.183,2.185,3.02,-3.086
PRJ-0013,Education,Haryana,655.64,2024-01-30,2026-04-30,2026-06-05,2026-06-05,27,-3.441,8.788,-3.03,-7.806
PRJ-0014,Roads & Highways,Telangana,968.81,2026-02-03,2035-02-03,,,108,-25.566,-22.597,1.73,-9.117
PRJ-0015,Coal,Telangana,1196.37,2026-02-11,2034-01-11,,,95,-8.184,-22.597,-1.1,-9.117
PRJ-0016,Urban Public Transport,Odisha,9367.68,2026-02-03,2031-04-03,,,62,-18.052,-14.368,5.8,-4.448
PRJ-0017,Roads & Highways,Chhattisgarh,655.42,2026-02-21,2036-01-21,,,119,-13.418,-22.042,1.73,-5.836
PRJ-0018,Roads & Highways,Karnataka,477.27,2026-02-11,2028-11-11,,,33,-7.9,-17.416,1.73,-5.504
PRJ-0019,Roads & Highways,Gujarat,521.75,2026-02-16,2029-01-16,,,35,15.513,8.533,1.73,-3.068
PRJ-0020,Railways,Uttar Pradesh,2038.02,2026-02-11,2036-02-11,,,120,7.741,2.185,37.14,-3.086
PRJ-0021,Roads & Highways,Karnataka,508.56,2026-02-25,2035-09-25,,,115,-12.762,-17.416,1.73,-5.504
PRJ-0022,Roads & Highways,Jharkhand,536.85,2026-02-13,2030-04-13,,,50,-5.025,-17.585,1.73,-4.6
PRJ-0023,Roads & Highways,West Bengal,500.41,2026-02-20,2033-03-20,,,85,-15.603,-20.715,1.73,-5.985
PRJ-0024,Oil & Gas,Karnataka,4437.5,2024-12-03,2026-07-03,2026-07-21,2026-07-21,19,-6.81,-17.416,8.97,-5.504
PRJ-0025,Railways,Jharkhand,7073.49,2026-02-25,2028-08-25,,,30,3.2,-17.585,37.14,-4.6
PRJ-0026,Roads & Highways,Maharashtra,1121.24,2026-02-12,2035-07-12,,,113,9.216,12.366,1.73,-2.098
PRJ-0027,Transmission & Distribution,West Bengal,3903.12,2026-02-16,2031-09-16,,,67,-15.793,-20.715,3.02,-5.985
PRJ-0028,Roads & Highways,Rajasthan,644.36,2026-02-02,2030-01-02,,,47,6.165,4.92,1.73,-7.926
PRJ-0029,Roads & Highways,Jharkhand,684.62,2023-03-10,2026-05-10,2026-05-15,2026-05-15,38,-6.502,-17.585,1.73,-4.6
PRJ-0030,Roads & Highways,Bihar,652.96,2026-02-15,2035-12-15,,,118,-5.646,-13.584,1.73,-3.536
PRJ-0031,Oil & Gas,Jharkhand,1082.75,2026-02-13,2028-11-13,,,33,-8.271,-17.585,8.97,-4.6
PRJ-0032,Electricity Generation,Gujarat,20911.69,2026-02-04,2028-02-04,,,24,-4.605,8.533,12.9,-3.068
PRJ-0033,Roads & Highways,Uttar Pradesh,1119.52,2026-02-17,2029-01-17,,,35,-4.446,2.185,1.73,-3.086
PRJ-0034,Electricity Generation,Nagaland,7955.66,2026-02-09,2033-05-09,,,87,-19.842,-37.566,12.9,-8.949
PRJ-0035,Steel,West Bengal,683.94,2026-02-08,2030-08-08,,,54,-10.64,-20.715,14.55,-5.985
PRJ-0036,Coal,Tripura,2874.34,2026-02-04,2035-12-04,,,118,-13.371,-43.844,-1.1,-10.209
PRJ-0037,Roads & Highways,Assam,873.22,2026-02-01,2032-06-01,,,76,-11.731,-6.798,1.73,-7.331
PRJ-0038,Waste & Water,Punjab,1191.13,2026-02-12,2031-11-12,,,69,-18.412,-29.625,1.27,-7.508
PRJ-0039,Roads & Highways,Uttar Pradesh,1160.7,2026-02-21,2030-06-21,,,52,-1.745,2.185,1.73,-3.086
PRJ-0040,Roads & Highways,Maharashtra,1378.8,2026-02-22,2030-01-22,,,47,7.089,12.366,1.73,-2.098
PRJ-0041,Healthcare,Madhya Pradesh,363.99,2026-02-07,2032-07-07,,,77,0.976,-8.492,20.66,-2.506
PRJ-0042,Roads & Highways,Punjab,868.52,2023-08-21,2026-04-21,2026-05-22,2026-05-22,32,-15.009,-29.625,1.73,-7.508
PRJ-0043,Roads & Highways,Himachal Pradesh,835.47,2026-02-08,2029-01-08,,,35,-15.946,-32.81,1.73,-11.046
PRJ-0044,Education,Karnataka,993.83,2026-02-15,2029-08-15,,,42,-11.764,-17.416,-3.03,-5.504
PRJ-0045,Transmission & Distribution,Madhya Pradesh,2946.02,2026-02-03,2029-11-03,,,45,10.435,-8.492,3.02,-2.506
PRJ-0046,Roads & Highways,Jammu & Kashmir,874.6,2024-01-28,2026-05-28,2026-06-15,2026-06-15,28,-20.897,-30.598,1.73,-8.146
PRJ-0047,Roads & Highways,Maharashtra,426.48,2026-02-11,2035-02-11,,,108,4.941,12.366,1.73,-2.098
PRJ-0048,Railways,Assam,1685.7,2026-02-07,2028-08-07,,,30,16.134,-6.798,37.14,-7.331
PRJ-0049,"Tourism, Hospitality & Wellness",Jammu & Kashmir,650.2,2026-02-04,2030-06-04,,,52,29.847,-30.598,116.06,-8.146
PRJ-0050,Roads & Highways,Bihar,744.57,2026-02-27,2028-08-27,,,30,-4.803,-13.584,1.73,-3.536
PRJ-0051,Healthcare,Bihar,830.9,2026-02-18,2032-02-18,,,72,-5.143,-13.584,20.66,-3.536
PRJ-0052,Roads & Highways,Punjab,860.41,2026-02-07,2032-07-07,,,77,-14.233,-29.625,1.73,-7.508
PRJ-0053,Roads & Highways,Gujarat,1011.78,2026-02-07,2031-09-07,,,67,14.344,8.533,1.73,-3.068
PRJ-0054,Roads & Highways,Gujarat,1236.3,2022-03-23,2026-06-23,2026-06-17,2026-06-17,51,6.696,8.533,1.73,-3.068
PRJ-0055,Electricity Generation,West Bengal,6169.37,2026-02-28,2033-04-28,,,86,-14.24,-20.715,12.9,-5.985
PRJ-0056,Roads & Highways,Madhya Pradesh,1098.43,2026-02-12,2033-08-12,,,90,-8.809,-8.492,1.73,-2.506
